;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;109;61587;1241;56;8,074074074074074;97,94104106805518;66,06060606060606;98,02476602788566;80,47096030712716;14,389438943894389;27,114427860696516
pca-quart;124;60599;2226;41;5,276595744680851;96,40101603429116;75,15151515151516;96,45682451253482;85,14033420665436;9,860834990059642;20,59800664451827
mlp-1camadas-min;98;62300;528;67;15,654952076677317;99,05545060562285;59,39393939393939;99,1596103648055;76,74294683118379;24,778761061946902;38,10264385692068
mlp-1camadas-quart;109;62041;784;56;12,206047032474803;98,666454992856;66,06060606060606;98,75208913649026;80,76894736287912;20,604914933837428;35,09336767546684
mlp-3camadas-min;88;62449;379;77;18,843683083511777;99,27611004397313;53,333333333333336;99,39676577322213;72,80907114665393;27,848101265822788;39,04170363797693
mlp-3camadas-quart;99;62288;537;66;15,566037735849056;99,0427051913002;60,0;99,14524472741743;77,1279111842467;24,719101123595507;38,19444444444444
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;65;62731;97;100;40,123456790123456;99,68726683917261;39,39393939393939;99,84561023747374;62,71612167892666;39,75535168195719;39,537712895377126
if-quart;80;62695;130;85;38,095238095238095;99,65867598031434;48,484848484848484;99,79307600477517;69,55898338768684;42,66666666666667;45,97701149425288
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;89;62485;276;73;24,383561643835616;99,44535384517584;54,93827160493827;99,56023645257405;73,95719918495689;33,776091081593925;43,928923988154004
