;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;117;61224;1604;48;6,798373038930854;97,37748638737638;70,9090909090909;97,44699815368944;83,12567624325217;12,407211028632027;24,569508609827803
pca-quart;132;59912;2913;33;4,334975369458128;95,32306715351643;80,0;95,3633107839236;87,34451821788181;8,22429906542056;17,813765182186238
mlp-1camadas-min;99;62282;546;66;15,348837209302326;99,02846348006922;60,0;99,13096071815114;77,12235501519044;24,444444444444443;37,93103448275862
mlp-1camadas-quart;114;62022;803;51;12,431842966194111;98,64422924273694;69,0909090909091;98,72184639872663;82,58802646159498;21,072088724584102;36,144578313253014
mlp-3camadas-min;99;62407;421;66;19,03846153846154;99,2268982267871;60,0;99,3299165976953;77,19970852187019;28,905109489051092;41,949152542372886
mlp-3camadas-quart;111;62178;647;54;14,643799472295514;98,88712494046673;67,27272727272727;98,97015519299642;81,5965211172507;24,052004333694473;39,13963328631876
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;68;62721;107;97;38,857142857142854;99,6761544933564;41,21212121212121;99,8296937671102;64,14197876663212;39,99999999999999;40,7185628742515
if-quart;89;62674;151;76;37,083333333333336;99,63962533735514;53,93939393939394;99,75964982093116;73,35512968393687;43,95061728395061;49,44444444444445
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;93;62432;281;65;24,86631016042781;99,44966677800576;58,860759493670884;99,55192703267265;76,5486906106278;34,96240601503759;46,22266401590457
