;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;117;61465;1363;48;7,905405405405405;97,76006857904846;70,9090909090909;97,83058508945057;83,28912204962545;14,224924012158056;27,336448598130843
pca-quart;130;60410;2415;35;5,1080550098231825;96,11049372916337;78,78787878787878;96,15598885793872;87,03979776440143;9,59409594095941;20,280811232449295
mlp-1camadas-min;105;62243;585;60;15,217391304347826;98,97607670693569;63,63636363636363;99,06888648373337;79,40014915180252;24,56140350877193;38,888888888888886
mlp-1camadas-quart;121;61916;909;44;11,74757281553398;98,48706143832354;73,33333333333333;98,55312375646638;85,01311119747471;20,2510460251046;35,798816568047336
mlp-3camadas-min;99;62284;544;66;15,396578538102643;99,0316384360167;60,0;99,13414401222384;77,12359328203938;24,504950495049506;37,98925556408288
mlp-3camadas-quart;110;61960;865;55;11,282051282051283;98,53945070646134;66,66666666666667;98,62315957023478;81,08561712586467;19,29824561403509;33,63914373088686
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;57;62718;110;108;34,131736526946106;99,653929801724;34,54545454545455;99,82491882600115;58,72390651010296;34,33734939759036;34,46191051995163
if-quart;80;62686;139;85;36,529680365296805;99,64438799809494;48,484848484848484;99,77875049741345;69,55399053882236;41,666666666666664;45,50625711035268
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;96;62356;391;61;19,71252566735113;99,28144474119293;61,146496815286625;99,37686263885126;77,95220981383206;29,81366459627329;43,049327354260086
