;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;71;62564;264;94;21,19402985074627;99,43168288539997;43,03030303030303;99,57980518240275;65,45952331553698;28,400000000000002;35,678391959798994
pca-quart;96;62391;434;69;18,11320754716981;99,20146054929354;58,18181818181818;99,3091922005571;76,01308679691971;27,62589928057554;40,33613445378151
mlp-1camadas-min;77;62617;211;88;26,73611111111111;99,5253440858508;46,666666666666664;99,66416247532948;68,1981982815434;33,99558498896247;40,611814345991554
mlp-1camadas-quart;93;62506;319;72;22,57281553398058;99,37926655024607;56,36363636363637;99,49224035017907;74,88487468174733;32,23570190641248;43,376865671641795
mlp-3camadas-min;76;62662;166;89;31,40495867768595;99,59519311669551;46,06060606060606;99,73578659196536;67,77824707350577;37,34643734643735;42,12860310421286
mlp-3camadas-quart;87;62561;264;78;24,786324786324787;99,4570566756628;52,72727272727273;99,57978511738958;72,46082036526921;33,72093023255814;43,02670623145401
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;69;62720;108;96;38,983050847457626;99,6761544933564;41,81818181818182;99,82810212007385;64,61137457925864;40,35087719298246;41,218637992831546
if-quart;82;62674;151;83;35,1931330472103;99,6285124622956;49,696969696969695;99,75964982093116;70,41130799900769;41,20603015075377;45,91265397536394
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;70;62683;108;91;39,325842696629216;99,6838861354683;43,47826086956522;99,82800082814416;65,8813164872502;41,29793510324483;42,57907542579076
