;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;24;36604;2928;37;0,8130081300813008;92,5113025029677;39,34426229508197;92,59334210260043;60,35740831466315;1,5930965814802522;3,7546933667083855
pca-quart;52;32374;7155;9;0,721520743721382;81,90452134377368;85,24590163934427;81,89936502314757;83,55588079296388;1,430930104567969;3,4894645014092074
mlp-1camadas-min;12;38883;649;49;1,8154311649016641;98,2370621069381;19,672131147540984;98,35829201659415;43,987693960908814;3,32409972299169;6,629834254143646
mlp-1camadas-quart;37;37967;1562;24;2,313946216385241;95,99393786309675;60,65573770491803;96,04847074299882;76,32752353080656;4,457831325301205;10,037981551817689
mlp-3camadas-min;9;39379;153;52;5,555555555555555;99,48223170762509;14,754098360655737;99,61297176970555;38,336661089451425;8,071748878923765;11,083743842364532
mlp-3camadas-quart;16;39151;378;45;4,060913705583756;98,93154837080071;26,229508196721312;99,04374003895875;50,969290667869835;7,032967032967033;12,539184952978058
oc-svm-min;0;39532;0;61;0,0;99,84593236178112;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;39529;0;61;0,0;99,84592068704218;0,0;100,0;0,0;0,0;0,0
if-min;0;39532;0;61;0,0;99,84593236178112;0,0;100,0;0,0;0,0;0,0
if-quart;0;39527;2;61;0,0;99,84086890628947;0,0;99,99494042348655;0,0;0,0;0,0
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;2;39332;95;55;2,0618556701030926;99,6200992807213;3,508771929824561;99,75904836786974;18,709135433236675;2,597402597402597;3,076923076923077
