;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;110;62289;539;55;16,949152542372882;99,0570380835966;66,66666666666667;99,14210224740562;81,29866839721531;27,027027027027025;42,01680672268908
pca-quart;122;61967;858;43;12,448979591836734;98,56961422448008;73,93939393939394;98,63430163151611;85,39883186712612;21,31004366812227;37,19512195121951
mlp-1camadas-min;106;62436;392;59;21,285140562248998;99,28404743384185;64,24242424242425;99,37607436174955;79,90093822161423;31,975867269984917;45,7685664939551
mlp-1camadas-quart;118;62246;579;47;16,929698708751793;99,00619145896174;71,51515151515152;99,0783923597294;84,17604315649244;27,37819025522042;43,47826086956522
mlp-3camadas-min;109;62349;479;56;18,537414965986393;99,15069928404743;66,06060606060606;99,2376010695868;80,96725307590441;28,950863213811424;43,66987179487179
mlp-3camadas-quart;122;62082;743;43;14,104046242774567;98,7521828861724;73,93939393939394;98,81734978113808;85,4780378431469;23,68932038834951;40,0
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;68;62705;123;97;35,602094240837694;99,65075484577652;41,21212121212121;99,80422741452855;64,13379700040893;38,20224719101123;39,9529964747356
if-quart;86;62662;163;79;34,53815261044177;99,61581203365614;52,121212121212125;99,74054914444886;72,10130594548203;41,54589371980677;47,30473047304731
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;108;62471;292;56;27,0;99,44697824463267;65,85365853658537;99,53475773943246;80,96127437666932;38,297872340425535;51,13636363636364
