;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;85;65312;338;53;20,094562647754138;99,40566668693378;61,594202898550726;99,48514851485149;78,27968077998412;30,3030303030303;43,5897435897436
pca-quart;107;65076;571;31;15,781710914454278;99,08489777304857;77,53623188405797;99,13019635322254;87,67087253561277;26,225490196078432;43,49593495934959
mlp-1camadas-min;75;65434;216;63;25,77319587628866;99,57591050039521;54,34782608695652;99,67098248286366;73,59960069113666;34,96503496503497;44,48398576512456
mlp-1camadas-quart;88;65339;308;50;22,22222222222222;99,45580299460363;63,768115942028984;99,53082395235121;79,66739057857492;32,95880149812734;46,413502109704645
mlp-3camadas-min;71;65477;173;67;29,098360655737704;99,63519182829695;51,44927536231884;99,73648134044174;71,63357936158965;37,17277486910995;44,597989949748744
mlp-3camadas-quart;82;65440;207;56;28,37370242214533;99,60021281447139;59,42028985507246;99,68467713680747;76,9629288006792;38,40749414519906;48,75148632580261
oc-svm-min;0;65650;0;138;0,0;99,79023530127076;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;65647;0;138;0,0;99,79022573535;0,0;100,0;0,0;0,0;0,0
if-min;36;65645;5;102;87,8048780487805;99,8373563567824;26,08695652173913;99,99238385377;51,073446820224966;40,22346368715084;30,35413153456998
if-quart;65;65635;12;73;84,41558441558442;99,87079121380253;47,10144927536232;99,98172041372797;68,62422263698632;60,465116279069775;51,66931637519873
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;68;65479;158;63;30,088495575221238;99,66397031991242;51,908396946564885;99,75928211222329;71,96071438629299;38,095238095238095;45,33333333333333
