;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min-1;145;83147;8578;19;1,6622721540754328;90,64414674226512;88,41463414634147;90,64813300626874;89,52441854487607;3,263193428603578;7,730035184987738
pca-min-2;139;87699;4025;25;3,3381364073006723;95,59246038655755;84,7560975609756;95,61183550651955;90,02047577176273;6,423290203327172;14,419087136929459
pca-min-3;136;89426;2297;28;5,589806822852445;97,46971824088283;82,92682926829268;97,49572081157397;89,91668918577088;10,473623411628802;22,01359663321463
pca-min-4;133;90244;1478;31;8,255741775294847;98,35774764381952;81,09756097560975;98,38860905780511;89,32567504570441;14,985915492957744;29,333921482134983
pca-min-5;130;90662;1059;34;10,933557611438184;98,81046960875007;79,26829268292683;98,84541162874369;88,51726961080325;19,216555801921654;35,23035230352303
pca-min-6;127;90914;806;37;13,612004287245444;99,08253885333681;77,4390243902439;99,12123855211513;87,6119398816647;23,154056517775754;39,962240402769034
pca-min-7;124;91085;634;40;16,358839050131927;99,26645843083051;75,60975609756098;99,30875827254985;86,65281871548747;26,898047722342735;43,847241867043856
pca-min-8;121;91199;519;43;18,90625;99,38834592194337;73,78048780487805;99,43413506618111;85,65219780974084;30,099502487562187;46,6820987654321
pca-min-9;118;91284;433;46;21,415607985480943;99,47867350159446;71,95121951219512;99,52789559187501;84,62359873769158;33,00699300699301;48,88152444076222
pca-min-10;115;91346;370;49;23,711340206185568;99,54397039616892;70,1219512195122;99,59658074926948;83,56977071244411;35,43913713405239;50,394390885188436
pca-median-1-0.25;136;89426;2297;28;5,589806822852445;97,46971824088283;82,92682926829268;97,49572081157397;89,91668918577088;10,473623411628802;22,01359663321463
pca-median-1-0.5;143;85157;6566;21;2,131465196005366;92,83141249578286;87,1951219512195;92,84149013878744;89,97402433360705;4,16121053397352;9,708078750848609
pca-median-1-0.75;143;85157;6566;21;2,131465196005366;92,83141249578286;87,1951219512195;92,84149013878744;89,97402433360705;4,16121053397352;9,708078750848609
pca-median-2-0.25;138;89208;2513;26;5,205582798943794;97,23676334548621;84,14634146341463;97,26016942684882;90,4659462305081;9,80461811722913;20,86483217417599
pca-median-2-0.5;143;86468;5253;21;2,6501111934766493;94,26021657506666;87,1951219512195;94,27284918393825;90,6649468167407;5,143884892086331;11,814276272306673
pca-median-2-0.75;151;80761;10960;13;1,3590135901359013;88,05789846003157;92,07317073170732;88,05071902835773;90,0394851503915;2,678492239467849;6,416248831477861
pca-median-3-0.25;134;90322;1397;30;8,752449379490528;98,44693795370199;81,70731707317073;98,4768695690097;89,70106357367428;15,811209439528021;30,635573845450388
pca-median-3-0.5;144;87348;4371;20;3,1893687707641196;95,22109639432757;87,8048780487805;95,23435711248487;91,44419671206995;6,1551613592648;13,923805840263004
pca-median-3-0.75;150;83776;7943;14;1,8534536018781662;91,34007378949316;91,46341463414635;91,33985324741874;91,40161306120773;3,6332808526099063;8,572408275231455
pca-median-4-0.25;135;90199;1518;29;8,166969147005444;98,31630043208062;82,3170731707317;98,34490879553408;89,97480232426696;14,859658778205832;29,233434387180594
pca-median-4-0.5;145;87858;3859;19;3,6213786213786214;95,77932325507994;88,41463414634147;95,79249212250728;92,02965905064399;6,957773512476008;15,557939914163091
pca-median-4-0.75;159;81114;10603;5;1,4774205538004088;88,45463153426715;96,95121951219512;88,43943870820023;92,59757791505157;2,9104887424492034;6,962690488702049
pca-median-5-0.25;131;90704;1011;33;11,471103327495621;98,86372293995363;79,8780487804878;98,89767213650984;88,88055512426114;20,061255742725876;36,4293659621802
pca-median-5-0.5;145;88211;3504;19;3,9736914223074815;96,16560911633779;88,41463414634147;96,17946900725072;92,21535970035285;7,605559926567007;16,84088269454123
pca-median-5-0.75;156;83582;8133;8;1,8820123054650741;91,13943338521317;95,1219512195122;91,13231205364444;93,10576427745023;3,6909972790725187;8,719955282280603
