;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
retroactive-0;138;0;65657;0;1,0;0,0;1,0;0,0;0,20974238163994224;0,20974238163994224;100,0;0,0;0,0;0,4186067674760742
full-0;0;65657;0;138;0,0;1,0;0,0;1,0;0,0;99,79025761836006;0,0;100,0;0,0;0,0
retroactive-1;134;65652;4;4;0,9710144927536232;0,9999390763981967;6,0923601803338614e-05;0,028985507246376812;97,10144927536231;99,98784083655045;97,10144927536231;99,99390763981967;98,53706587134211;97,10144927536231
full-1;134;65655;0;4;0,9710144927536232;1,0;0,0;0,028985507246376812;100,0;99,99392032587053;97,10144927536231;100,0;98,54006762498305;98,52941176470588
retroactive-2;130;65651;4;8;0,9420289855072463;0,9999390754702612;6,0924529738786076e-05;0,057971014492753624;97,01492537313433;99,9817609776116;94,20289855072464;99,99390754702613;97,05522102567714;95,58823529411765
full-2;126;65653;0;12;0,9130434782608695;1,0;0,0;0,08695652173913043;100,0;99,98176042315818;91,30434782608695;100,0;95,55330859059092;95,45454545454547
retroactive-3;126;65650;4;12;0,9130434782608695;0,9999390745422975;6,092545770250099e-05;0,08695652173913043;96,92307692307692;99,97568093385215;91,30434782608695;99,99390745422976;95,55039773172345;94,02985074626865
full-3;126;65651;0;12;0,9130434782608695;1,0;0,0;0,08695652173913043;100,0;99,98175986867105;91,30434782608695;100,0;95,55330859059092;95,45454545454547
retroactive-4;122;65649;4;16;0,8840579710144928;0,9999390736143056;6,092638569448464e-05;0,11594202898550725;96,82539682539682;99,96960070526364;88,40579710144928;99,99390736143056;94,02149267893881;92,42424242424242
full-4;118;65649;0;20;0,855072463768116;1,0;0,0;0,14492753623188406;100,0;99,96959885691702;85,5072463768116;100,0;92,4701283533291;92,1875
retroactive-5;118;65648;4;20;0,855072463768116;0,9999390726862852;6,092731371473832e-05;0,14492753623188406;96,72131147540983;99,96352029183767;85,5072463768116;99,99390726862853;92,46731133216036;90,76923076923076
full-5;118;65647;0;20;0,855072463768116;1,0;0,0;0,14492753623188406;100,0;99,96959793265943;85,5072463768116;100,0;92,4701283533291;92,1875
retroactive-6;114;65647;4;24;0,8260869565217391;0,9999390717582367;6,0928241763263316e-05;0,17391304347826086;96,61016949152543;99,95743969356579;82,6086956521739;99,99390717582368;90,88655700905028;89,0625
full-6;110;65645;0;28;0,7971014492753623;1,0;0,0;0,2028985507246377;100,0;99,95743581168387;79,71014492753623;100,0;89,28053815224023;88,70967741935483
retroactive-7;110;65646;4;28;0,7971014492753623;0,99993907083016;6,092916984006093e-05;0,2028985507246377;96,49122807017544;99,9513589104396;79,71014492753623;99,993907083016;89,2778182162725;87,3015873015873
full-7;110;65643;0;28;0,7971014492753623;1,0;0,0;0,2028985507246377;100,0;99,95743451756586;79,71014492753623;100,0;89,28053815224023;88,70967741935483
retroactive-8;106;65645;4;32;0,7681159420289855;0,9999390699020548;6,093009794513245e-05;0,2318840579710145;96,36363636363636;99,94527794245063;76,81159420289855;99,99390699020549;87,6395538926006;85,48387096774194
full-8;102;65641;0;36;0,7391304347826086;1,0;0,0;0,2608695652173913;100,0;99,94527128718892;73,91304347826087;100,0;85,97269536210952;85,00000000000001
retroactive-9;102;65644;4;36;0,7391304347826086;0,9999390689739215;6,093102607847916e-05;0,2608695652173913;96,22641509433963;99,9391967895905;73,91304347826087;99,99390689739215;85,97007611993905;83,60655737704919
full-9;102;65639;0;36;0,7391304347826086;1,0;0,0;0,2608695652173913;100,0;99,94526962312054;73,91304347826087;100,0;85,97269536210952;85,00000000000001
