;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;124;62656;2999;14;3,9705411463336535;95,42048546197924;89,85507246376811;95,43218338283451;92,60165092070552;7,605029132168045
pca-full;112;64589;1064;26;9,523809523809524;98,34323843686826;81,15942028985508;98,3793581405267;89,35553522403177;17,04718417047184
mlp-1camadas-retro;125;63860;1795;13;6,510416666666667;97,25198729348106;90,57971014492753;97,26601172797197;93,86334294746179;12,147716229348882
mlp-1camadas-full;115;65064;589;23;16,335227272727273;99,06978158106732;83,33333333333333;99,10285897064871;90,87668337305996;27,315914489311165
mlp-3camadas-retro;124;64326;1329;14;8,534067446662078;97,95874941103156;89,85507246376811;97,97578249942883;93,8276133991511;15,587680703959773
mlp-3camadas-full;112;65224;429;26;20,702402957486136;99,30841604474776;81,15942028985508;99,34656451342666;89,79370570200561;32,98969072164948
oc-svm-retro;129;34304;31351;9;0,40978398983481573;52,33535482498138;93,47826086956522;52,248876703982944;69,88658044772735;0,8159908912644694
oc-svm-full;121;47649;18004;17;0,6675862068965517;72,60871547780091;87,68115942028986;72,57703379891247;79,77241672893086;1,3250835021628427
if-retro;45;1079;64576;93;0,0696368053728664;1,7083884303801316;32,608695652173914;1,6434391897037546;7,320546998681522;0,13897682175450515
if-full;29;1876;63777;109;0,04545027113437608;2,8955328236384914;21,014492753623188;2,8574474890713297;7,749052171262511;0,09070436632053047
ensemble-retro;130;63299;2356;8;5,229283990345937;96,4069125894852;94,20289855072464;96,4115451983855;95,30082377105725;9,908536585365853
ensemble-full;121;64878;775;17;13,504464285714286;98,79618792844006;87,68115942028986;98,81955127716937;93,08390209577054;23,404255319148934
