;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;146;45046;9926;17;1,4495631453534552;81,96608325020405;89,57055214723927;81,9435348904897;85,67221057634575;2,8529555446995607
pca-full;141;48005;6965;22;1,9842386715451732;87,32700923222026;86,50306748466258;87,32945242859742;86,91527781023078;3,8794882377218327
mlp-1camadas-retro;138;47975;6997;25;1,9341275402943237;87,26398839212841;84,66257668711657;87,27170195736011;85,95724029760484;3,781858043299534
mlp-1camadas-full;131;50546;4424;32;2,87596048298573;91,91772622567247;80,3680981595092;91,95197380389303;85,9651397755619;5,553200508690123
mlp-3camadas-retro;144;45391;9581;19;1,480719794344473;82,58819261811917;88,34355828220859;82,57112711926071;85,40858962123225;2,912621359223301
mlp-3camadas-full;137;48802;6168;26;2,1728786677240284;88,76534924636788;84,04907975460122;88,77933418228125;86,38183454434706;4,236239950525664
oc-svm-retro;122;19021;35951;41;0,338203088182297;34,72023215743176;74,84662576687117;34,60125154624172;50,889949160388504;0,6733635059057291
oc-svm-full;99;26900;28070;64;0,35145017572508785;48,97067092304065;60,736196319018404;48,93578315444788;54,51764239852509;0,698856416772554
if-retro;133;920;54052;30;0,24545538433145705;1,9098576222000545;81,59509202453988;1,6735792767226951;11,68571157844276;0,4894384337970119
if-full;119;1625;53345;44;0,22257967978452792;3,16325975368654;73,00613496932516;2,9561579043114428;14,690733914709591;0,4438062916068398
ensemble-retro;146;43892;11080;17;1,300552289328345;79,87303890450711;89,57055214723927;79,84428436294841;84,56770445146581;2,563877425586092
ensemble-full;141;47155;7815;22;1,7722473604826545;85,78528286144414;86,50306748466258;85,78315444788066;86,14235890810197;3,4733341544525187
