;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;125;62140;3515;13;3,434065934065934;94,63772741781041;90,57971014492753;94,64625694920417;92,5906610882612;6,617257808364214
pca-full;114;64307;1346;24;7,808219178082192;97,9176483105592;82,6086956521739;97,9498271213806;89,95280683699191;14,267834793491863
mlp-1camadas-retro;117;63515;2140;21;5,183872396987151;96,71545605155563;84,78260869565217;96,74053765897494;90,56442540726394;9,770354906054278
mlp-1camadas-full;103;64857;796;35;11,457174638487208;98,73690930370415;74,6376811594203;98,78756492467976;85,86777494126525;19,86499517839923
mlp-3camadas-retro;118;63695;1960;20;5,678537054860443;96,990561305914;85,5072463768116;97,01469804279948;91,07941418189753;10,649819494584838
mlp-3camadas-full;104;64963;690;34;13,09823677581864;98,89954553054369;75,3623188405797;98,94901984677014;86,35408260560204;22,31759656652361
oc-svm-retro;118;36862;28793;20;0,4081491473833489;56,206587326919276;85,5072463768116;56,14500038077831;69,28783717497171;0,8124203931288513
oc-svm-full;107;50658;14995;31;0,7085154284200769;77,16100986457114;77,53623188405797;77,16022116278008;77,34799803681096;1,404199475065617
if-retro;43;1086;64569;95;0,06655110505788399;1,7159880230419648;31,159420289855074;1,654100982408042;7,179194085182149;0,13281853281853284
if-full;25;1919;63734;113;0,039210150723819386;2,954811448374398;18,115942028985508;2,9229433536929004;7,276803717945748;0,07825093509867444
ensemble-retro;123;62757;2898;15;4,07149950347567;95,5724773152159;89,1304347826087;95,58601782042494;92,30180565662114;7,78727445394112
ensemble-full;110;64594;1059;28;9,409751924721984;98,34779833107872;79,71014492753623;98,38697393873852;88,55755163529861;16,832440703902066
