;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;141;87658;4065;23;3,3523537803138375;95,55105727687268;85,97560975609755;95,56817810145765;90,64509024515421;6,453089244851259
pca-full;133;90220;1501;31;8,13953488372093;98,3326984817979;81,09756097560975;98,36351544357345;89,31428324439787;14,794215795328144
mlp-1camadas-retro;138;85596;6127;26;2,2027134876296888;93,30373175748474;84,14634146341463;93,32010509904822;88,6145892563197;4,2930471301913204
mlp-1camadas-full;131;88137;3584;33;3,5262449528936743;96,06355770800457;79,8780487804878;96,09249790124399;87,61096526573878;6,754318123227637
mlp-3camadas-retro;125;88513;3210;39;3,7481259370314843;96,46413529661432;76,21951219512195;96,50033252292228;85,76251087488168;7,144898542440697
mlp-3camadas-full;114;90309;1412;50;7,470511140235911;98,40888066604995;69,51219512195122;98,46054883832493;82,72973396949884;13,49112426035503
oc-svm-retro;55;65742;25981;109;0,21124596712244584;71,60642963640123;33,53658536585366;71,67449821745909;49,02772611517429;0,41984732824427484
oc-svm-full;32;73677;18044;132;0,17703031644169065;80,21875170049519;19,51219512195122;80,32729691128532;39,58992158304824;0,3508771929824562
if-retro;78;1858;89865;86;0,08672159034054902;2,1069356927530554;47,5609756097561;2,025664228165237;9,815424950012213;0,1731275039675053
if-full;69;3260;88461;95;0,07793968146391055;3,6230070196441204;42,073170731707314;3,5542569313461474;12,228608207677626;0,15559113356033105
ensemble-retro;142;86119;5604;22;2,47128437173686;93,8772622895513;86,58536585365853;93,89030014282132;90,163884055513;4,805414551607445
ensemble-full;132;88569;3152;32;4,019488428745432;96,53479893344942;80,48780487804878;96,56349145779048;88,15998785615712;7,656612529002319
