;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;101;53330;1642;62;5,794606999426277;96,90940418971616;61,96319018404908;97,01302481263188;77,53216433709936;10,598111227701994
pca-full;89;54446;524;74;14,518760195758565;98,91535015326573;54,60122699386503;99,04675277424049;73,53960994750744;22,938144329896907
mlp-1camadas-retro;99;52902;2070;64;4,564315352697095;96,12950031740274;60,736196319018404;96,23444662737394;76,45203884143497;8,490566037735848
mlp-1camadas-full;91;53528;1442;72;5,936073059360731;97,25391326428817;55,828220858895705;97,3767509550664;73,73174864901232;10,731132075471699
mlp-3camadas-retro;84;53951;1021;79;7,601809954751131;98,00489707082616;51,533742331288344;98,1426908244197;71,11722815636828;13,249211356466876
mlp-3camadas-full;68;54499;471;95;12,61595547309833;98,97339161663614;41,717791411042946;99,14316900127342;64,31200544396748;19,37321937321937
oc-svm-retro;53;22244;32728;110;0,16167902138433848;40,44073637435386;32,515337423312886;40,4642363384996;36,27269356034913;0,32175813501699857
oc-svm-full;46;30253;24717;117;0,18576101441667003;54,95619683311266;28,220858895705522;55,03547389485174;39,410003083543344;0,36909251384096925
if-retro;121;969;54003;42;0,2235607124381051;1,97696562981772;74,23312883435582;1,7627155642872736;11,439051166161528;0,4457789157625215
if-full;109;1696;53274;54;0,20418485285577806;3,2739012932363556;66,87116564417178;3,085319265053666;14,363805054321714;0,40712658275127933
ensemble-retro;109;53314;1658;54;6,168647425014148;96,89489435023125;66,87116564417178;96,98391908608019;80,53215331795259;11,295336787564768
ensemble-full;99;54345;625;64;13,67403314917127;98,75029474180617;60,736196319018404;98,86301619064945;77,48911897838032;22,32243517474634
