;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;130;62760;2895;8;4,297520661157025;95,58767650053957;94,20289855072464;95,59058716015535;94,89420627547456;8,220044261776794
pca-full;123;64432;1221;15;9,151785714285714;98,12132358529283;89,1304347826087;98,14022207667585;93,52689807406152;16,59919028340081
mlp-1camadas-retro;130;63573;2082;8;5,877034358047016;96,82337026735367;94,20289855072464;96,82887822709618;95,50686358795168;11,063829787234042
mlp-1camadas-full;124;64837;816;14;13,191489361702128;98,73842926844097;89,85507246376811;98,75710173183252;94,20099008198125;23,005565862708725
mlp-3camadas-retro;130;63807;1848;8;6,572295247724974;97,17903120392747;94,20289855072464;97,18528672606809;95,68247334846062;12,287334593572776
mlp-3camadas-full;124;64922;731;14;14,502923976608187;98,8676262710705;89,85507246376811;98,8865703014333;94,26271765724128;24,97482376636455
oc-svm-retro;66;35232;30423;72;0,21647151431663877;53,65008435547855;47,82608695652174;53,662325793922776;50,660231540226405;0,4309922617298462
oc-svm-full;47;48621;17032;91;0,27519175595760875;73,97364381146357;34,05797101449275;74,05754497128844;50,22200434109171;0,5459720044142418
if-retro;36;873;64782;102;0,055540127742293804;1,3816059459212986;26,08695652173913;1,3296778615490061;5,889588148771354;0,11084426380934786
if-full;13;1480;64173;125;0,020253637864954974;2,269307352069432;9,420289855072463;2,254276270695932;4,608246508528756;0,04042037186742117
ensemble-retro;131;63016;2639;7;4,729241877256317;95,9782955633578;94,92753623188406;95,98050415048358;95,45256824884036;9,009628610729022
ensemble-full;125;64613;1040;13;10,729613733905579;98,39947713213053;90,57971014492753;98,4159139719434;94,41655025061421;19,18649270913277
