;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;109;49440;5532;54;1,9322815103705018;89,86850457966808;66,87116564417178;89,93669504475005;77,55109046188096;3,756030323914542
pca-full;101;51952;3018;62;3,2382173773645397;94,41350915059947;61,96319018404908;94,50973258140804;76,52531956277873;6,1547836684948205
mlp-1camadas-retro;103;50910;4062;60;2,4729891956782715;92,52380520540491;63,190184049079754;92,6107836716874;76,49897035348539;4,759704251386322
mlp-1camadas-full;96;52619;2351;67;3,9231712300776462;95,6142419240745;58,895705521472394;95,72312170274695;75,0844909911564;7,35632183908046
mlp-3camadas-retro;127;50473;4499;36;2,745352356247298;91,77473474199692;77,91411042944786;91,81583351524412;84,57983797382525;5,3038212570474
mlp-3camadas-full;119;52548;2422;44;4,683195592286501;95,52717972901891;73,00613496932516;95,59396034200473;83,54008361846853;8,801775147928995
oc-svm-retro;91;21503;33469;72;0,27115613825983315;39,16568422961821;55,828220858895705;39,116277377574036;46,73106218151936;0,5396910120689145
oc-svm-full;61;30466;24504;102;0,24832078159983717;55,36974225962672;37,423312883435585;55,422957977078404;45,542405484358284;0,49336784212229057
if-retro;111;1274;53698;52;0,20628519392666655;2,5120159608234336;68,09815950920246;2,317543476679037;12,562660758947553;0,41132439042466473
if-full;95;2061;52909;68;0,1792317560938797;3,9105435945803784;58,282208588957054;3,7493178097143898;14,782372023869026;0,35736453062990203
ensemble-retro;126;48796;6176;37;1,999365280863218;88,731295910039;77,30061349693251;88,76518955104417;82,83479709317346;3,8979118329466353
ensemble-full;119;51463;3507;44;3,281853281853282;93,55921136161645;73,00613496932516;93,62015644897217;82,67312609042311;6,281340723145949
