;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;8;37686;1851;53;0,4303388918773534;95,19167634729027;13,114754098360656;95,3183094316716;35,356416521868056;0,8333333333333334
pca-full;5;38816;719;56;0,6906077348066298;98,0427315890494;8,19672131147541;98,18135829012267;28,36838437215365;1,2738853503184713
mlp-1camadas-retro;6;38527;1010;55;0,5905511811023622;97,31047022576898;9,836065573770492;97,44543086223031;30,959322470383878;1,1142061281337046
mlp-1camadas-full;0;39196;339;61;0,0;98,98979694918678;0,0;99,1425319337296;0,0;0,0
mlp-3camadas-retro;9;38621;916;52;0,972972972972973;97,55543209252993;14,754098360655737;97,68318284138908;37,963499414882364;1,8255578093306288
mlp-3camadas-full;2;39240;295;59;0,6734006734006734;99,10597030003031;3,278688524590164;99,25382572404199;18,03946727104458;1,1173184357541899
oc-svm-retro;28;24052;15485;33;0,18049377941081673;60,8111520783878;45,90163934426229;60,834155348154894;52,84304550840944;0,35957364838833955
oc-svm-full;17;33039;6496;44;0,26101642868109937;83,48318011920396;27,868852459016395;83,56898950297204;48,25942227801134;0,5171889260724065
if-retro;55;916;38621;6;0,1422070534698521;2,452144047679176;90,1639344262295;2,3168171586109216;14,453143269426153;0,283966233833286
if-full;49;1574;37961;12;0,1289134438305709;4,098898878674613;80,32786885245902;3,981282407992918;17,883174526181232;0,25741377951721783
ensemble-retro;13;37954;1583;48;0,8145363408521303;95,8811051063185;21,311475409836067;95,99615549991148;45,23073852343296;1,5691007845503924
ensemble-full;7;38962;573;54;1,206896551724138;98,41650671785028;11,475409836065573;98,55065132161376;33,62899215746311;2,1840873634945397
