;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;24;37389;2148;37;1,1049723756906078;94,48204454770443;39,34426229508197;94,56711434858487;60,99732249385814;2,149574563367667
pca-full;14;38672;863;47;1,596351197263398;97,70178805939995;22,950819672131146;97,81712406728215;47,38125341645863;2,9850746268656714
mlp-1camadas-retro;19;38447;1090;42;1,7132551848512174;97,14126976109904;31,147540983606557;97,24308875230797;55,03528951759046;3,247863247863248
mlp-1camadas-full;9;39136;399;52;2,2058823529411766;98,86099606020811;14,754098360655737;98,99076767421272;38,216744014399694;3,8379530916844353
mlp-3camadas-retro;17;38458;1079;44;1,551094890510949;97,16399818172636;27,868852459016395;97,27091079242228;52,0656188038533;2,938634399308557
mlp-3camadas-full;6;39149;386;55;1,530612244897959;98,88625113647844;9,836065573770492;99,02364993044138;31,209022959232723;2,649006622516556
oc-svm-retro;29;24451;15086;32;0,1918623883559378;61,821304106267995;47,540983606557376;61,843336621392616;54,222624913337015;0,38218239325250397
oc-svm-full;17;33072;6463;44;0,2623456790123457;83,56652187089605;27,868852459016395;83,65245984570633;48,283517490690166;0,5197981959944963
if-retro;55;1056;38481;6;0,14272368694208012;2,8056972574372443;90,1639344262295;2,670915850975036;15,518385278284919;0,28499624323133926
if-full;49;1791;37744;12;0,129653639562882;4,646934033740782;80,32786885245902;4,530163146578981;19,07611991780927;0,2588894172346384
ensemble-retro;27;37702;1835;34;1,4500537056928033;95,28006464972978;44,26229508196721;95,35877785365606;64,96767168380197;2,8081123244929795
ensemble-full;15;38838;697;46;2,106741573033708;98,12354783311446;24,59016393442623;98,23700518527886;49,14940550945745;3,8809831824062098
