;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;79;56638;4480;4;1,7328361482781311;92,67332233133446;95,18072289156626;92,66991720933277;93,91692983847955;3,403705299439897
pca-full;76;59311;1805;7;4,040404040404041;97,03916730665534;91,56626506024097;97,04659990837096;94,2666149302342;7,739307535641548
mlp-1camadas-retro;79;57599;3519;4;2,1956642579210675;94,24355811179556;95,18072289156626;94,24228541509866;94,71034184693033;4,2923118717739746
mlp-1camadas-full;76;59770;1346;7;5,344585091420535;97,78917956175755;91,56626506024097;97,79763073499575;94,630670388327;10,09966777408638
mlp-3camadas-retro;77;57963;3155;6;2,382425742574257;94,83505171484126;92,7710843373494;94,83785464184038;93,79877723804003;4,645550527903469
mlp-3camadas-full;74;59920;1196;9;5,826771653543307;98,03101357865324;89,1566265060241;98,04306564565744;93,49432595230303;10,938654841093866
oc-svm-retro;39;23139;37979;44;0,10258298700615498;37,871930197219;46,98795180722892;37,8595503779574;42,17751449057682;0,20471903624576787
oc-svm-full;26;32507;28609;57;0,09079797450672254;53,15936534910701;31,325301204819276;53,18901760586426;40,818647666135796;0,18107110523016923
if-retro;18;2141;58977;65;0,03051106025934401;3,527720135291907;21,686746987951807;3,5030596550934257;8,716075287863962;0,060936389180405566
if-full;3;3644;57472;80;0,005219660722053067;5,959247700125819;3,6144578313253013;5,9624320963413835;4,642301087215956;0,010424267695194413
ensemble-retro;79;56832;4286;4;1,8098510882016037;92,9903106158396;95,18072289156626;92,98733597303577;94,07763739419953;3,5521582733812953
ensemble-full;76;59401;1715;7;4,2434394193188165;97,18622853314596;91,56626506024097;97,19386085476798;94,33810908246923;8,110992529348987
