;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;133;47216;7756;30;1,6858917480035494;85,87829872132039;81,59509202453988;85,89099905406388;83,71549421639945;3,3035270740188776
pca-full;126;49673;5297;37;2,323437211875346;90,32521357444725;77,30061349693251;90,36383481899217;83,57738850576492;4,511278195488722
mlp-1camadas-retro;120;50041;4931;43;2,375767174816868;90,97850730026299;73,61963190184049;91,02997889834825;81,86326122583137;4,602991944764097
mlp-1camadas-full;108;51966;3004;55;3,4704370179948585;94,45159886093629;66,25766871165644;94,5352010187375;79,14342695820895;6,595419847328245
mlp-3camadas-retro;36;54614;358;127;9,137055837563452;99,1203409812279;22,085889570552148;99,34875936840574;46,8423497316474;12,926391382405745
mlp-3camadas-full;22;54865;105;141;17,322834645669293;99,55380625034009;13,496932515337424;99,80898672002911;36,703067422007685;15,172413793103448
oc-svm-retro;72;17671;37301;91;0,1926524496294116;32,181010247574136;44,171779141104295;32,14545586844211;37,681852091039;0,38363171355498715
oc-svm-full;41;25929;29041;122;0,14098067533182038;47,10427511653638;25,153374233128833;47,16936510824086;34,44515485386402;0,2803898102239699
if-retro;78;2301;52671;85;0,14787010180287777;4,314863516822345;47,852760736196316;4,185767299716219;14,152756660478367;0,2948291502872694
if-full;66;3981;50989;97;0,12927235334443246;7,340431320624671;40,49079754601227;7,242132072039294;17,12424315204691;0,2577218946464134
ensemble-retro;114;48268;6704;49;1,6720445878556762;87,7518817448082;69,93865030674847;87,8047005748381;78,36416431502576;3,2660077352814785
ensemble-full;97;50740;4230;66;2,2417379246591174;92,20793354252444;59,50920245398773;92,30489357831544;74,11471243582994;4,320712694877505
