;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;70;59872;1246;13;5,319148936170213;97,9428440711753;84,33734939759036;97,96132072384567;90,89443400635918;10,007147962830594
pca-full;64;60767;349;19;15,49636803874092;99,3986829850161;77,10843373493977;99,42895477452713;87,56032760654763;25,806451612903224
mlp-1camadas-retro;71;60216;902;12;7,297019527235355;98,50656035032107;85,5421686746988;98,52416636670048;91,80398062107318;13,446969696969699
mlp-1camadas-full;67;60868;248;16;21,26984126984127;99,56862040229416;80,72289156626506;99,59421428103934;89,66344271795337;33,66834170854271
mlp-3camadas-retro;70;60427;691;13;9,198423127463863;98,84969199849675;84,33734939759036;98,86940017670736;91,31474769955372;16,587677725118482
mlp-3camadas-full;65;60935;181;18;26,422764227642276;99,67483128809295;78,3132530120482;99,70384187446822;88,36363615757601;39,51367781155015
oc-svm-retro;11;25799;35319;72;0,031135012737050664;42,172513521020896;13,25301204819277;42,211787034916064;23,65234284694626;0,06212407872815068
oc-svm-full;1;35633;25483;82;0,003924030764401193;58,22644160852302;1,2048192771084338;58,30388114405393;8,381267203269152;0,007822583799428951
if-retro;33;1143;59975;50;0,05499266764431409;1,9215372297838271;39,75903614457831;1,8701528191367518;8,622961992954806;0,10983341931404036
if-full;17;2069;59047;66;0,028782337803061088;3,408552427327244;20,481927710843372;3,385365534393612;8,326992983678478;0,05748389605559031
ensemble-retro;72;60110;1008;11;6,666666666666667;98,33499452623323;86,74698795180723;98,35073137209987;92,36682147495915;12,38177128116939
ensemble-full;69;60842;274;14;20,11661807580175;99,52940407522999;83,13253012048193;99,55167222985797;90,97242653789671;32,394366197183096
