;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;117;48487;6485;46;1,7721902453801879;88,15452979051419;71,77914110429448;88,20308520701448;79,5684717643138;3,4589800443458985
pca-full;102;51589;3381;61;2,9285099052540913;93,75691509622186;62,576687116564415;93,84937238493724;76,63408387798577;5,595172792100932
mlp-1camadas-retro;107;51044;3928;56;2,65179677819083;92,77409993651945;65,6441717791411;92,85454413155789;78,07278428137315;5,097665555026203
mlp-1camadas-full;95;52491;2479;68;3,6907536907536906;95,3802622748626;58,282208588957054;95,49026741859196;74,60149920682336;6,941907197661673
mlp-3camadas-retro;98;52471;2501;65;3,770681031165833;95,34596898521811;60,122699386503065;95,45041111838755;75,75444788254313;7,0963070238957275
mlp-3camadas-full;91;53677;1293;72;6,57514450867052;97,52416882810658;55,828220858895705;97,64780789521558;73,83429681090702;11,764705882352942
oc-svm-retro;129;22226;32746;34;0,3923954372623574;40,54593271061939;79,14110429447852;40,43149239612894;56,56671244206663;0,7809189418245658
oc-svm-full;106;31094;23876;57;0,4419981652906346;56,590426786135346;65,03067484662577;56,56539930871384;60,65052423528192;0,8780285773452059
if-retro;113;1532;53440;50;0,21100591936959648;2,9835857440827063;69,32515337423312;2,786873317325184;13,899655397099822;0,42073125325787475
if-full;93;2589;52381;70;0,17723062850173418;4,86460014873125;57,05521472392638;4,7098417318537384;16,39271275068969;0,35336360354883445
ensemble-retro;120;49178;5794;43;2,029083530605343;89,41325836582932;73,61963190184049;89,46008877246598;81,15429012279584;3,9493170972519334
ensemble-full;108;52045;2925;55;3,5608308605341246;94,59488872363194;66,25766871165644;94,6789157722394;79,20356201090871;6,758448060075094
