;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;119;47474;7498;44;1,562294866745438;86,32084882560987;73,00613496932516;86,36032889471004;79,40298374294578;3,0591259640102835
pca-full;105;51083;3887;58;2,630260521042084;92,84457584386847;64,41717791411043;92,92887029288703;77,37063765417857;5,054151624548736
mlp-1camadas-retro;111;51563;3409;52;3,153409090909091;93,72268069284483;68,09815950920246;93,79866113657862;79,92193808853962;6,027694814010317
mlp-1camadas-full;101;53272;1698;62;5,6142301278488045;96,80771951462826;61,96319018404908;96,9110423867564;77,49140178332709;10,295616717635067
mlp-3camadas-retro;100;52253;2719;63;3,5473572188719404;94,95420331912578;61,34969325153374;95,05384559412065;76,36441756196372;6,70690811535882
mlp-3camadas-full;95;53654;1316;68;6,732813607370659;97,4897067092304;58,282208588957054;97,60596689103147;75,42341361851724;12,07115628970775
oc-svm-retro;87;21562;33410;76;0,2597247514702809;39,265439376076905;53,374233128834355;39,22360474423343;45,75510707857614;0,516934046345811
oc-svm-full;58;30591;24379;105;0,23734500961656504;55,591025338726354;35,58282208588957;55,650354738948515;44,49940080150121;0,47154471544715443
if-retro;94;1871;53101;69;0,17670833724974153;3,563979323478734;57,668711656441715;3,4035508986393075;14,009939164095371;0,3523370441170959
if-full;71;3095;51875;92;0,1366803988757556;5,742477282208478;43,558282208588956;5,630343823903948;15,660399267355672;0,2725057091865129
ensemble-retro;118;48002;6970;45;1,664785553047404;87,2766845016777;72,39263803680981;87,3208178709161;79,5071340271263;3,2547234864156662
ensemble-full;106;51427;3543;57;2,9049054535489174;93,47033537083054;65,03067484662577;93,55466618155357;77,9995069012441;5,561385099685204
