;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;126;91202;516;38;19,626168224299064;99,39705274155983;76,82926829268293;99,43740596175233;87,40539537673803;31,265508684863523;48,536209553158706
pca-quart;135;90737;978;29;12,129380053908356;98,90399329552999;82,3170731707317;98,93365316469497;90,24371870997996;21,1433046202036;38,15715093273035
mlp-1camadas-min;121;88349;3369;43;3,4670487106017194;96,28654143357785;73,78048780487805;96,32678427353409;84,3032450880546;6,622879036672141;14,592378195851424
mlp-1camadas-quart;131;86121;5594;33;2,2882096069868996;93,87564078842826;79,8780487804878;93,90067055552527;86,60601793844792;4,448972660893191;10,264848769785301
mlp-3camadas-min;116;91342;376;48;23,577235772357724;99,53853856032738;70,73170731707317;99,59004775507535;83,9295782755122;35,36585365853659;50,522648083623686
mlp-3camadas-quart;122;90932;783;42;13,480662983425415;99,10207990944612;74,39024390243902;99,14626833124353;85,88081906443297;22,825070159027128;39,077514413837285
oc-svm-min;0;91718;0;164;0,0;99,82151019786248;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;91715;0;164;0,0;99,82150436987777;0,0;100,0;0,0;0,0;0,0
if-min;84;91666;52;80;61,76470588235294;99,85633747632833;51,21951219512195;99,94330447676573;71,54751779390037;56,0;53,03030303030303
if-quart;91;91617;98;73;48,148148148148145;99,81388565395793;55,48780487804878;99,89314724963201;74,45032883232804;51,55807365439094;53,84615384615385
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;114;91392;249;48;31,40495867768595;99,67648116074638;70,37037037037037;99,72828755687956;83,77300598510486;43,42857142857142;56,379821958456965
