;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;114;61155;1673;51;6,379406827084499;97,26318797326687;69,0909090909091;97,33717450818106;82,00679164014826;11,680327868852459;23,293829178586027
pca-quart;134;60069;2756;31;4,6366782006920415;95,57548817272583;81,21212121212122;95,61321130123359;88,11896337154643;8,772504091653028;18,87323943661972
mlp-1camadas-min;112;61693;1135;53;8,981555733761027;98,11407616719318;67,87878787878788;98,1934806137391;81,6410095580638;15,86402266288952;29,365495542737285
mlp-1camadas-quart;124;61073;1752;41;6,609808102345416;97,15351643117955;75,15151515151516;97,21130123358536;85,47266567478924;12,150906418422343;24,447949526813883
mlp-3camadas-min;105;62133;695;60;13,125;98,80145412982395;63,63636363636363;98,89380530973452;79,32995749446746;21,761658031088082;35,95890410958904
mlp-3camadas-quart;118;61753;1072;47;9,915966386554622;98,22352754405462;71,51515151515152;98,29367290091524;83,84203546246773;17,4169741697417;31,89189189189189
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;77;62728;100;88;43,50282485875706;99,7015541409363;46,666666666666664;99,84083529636467;68,25861836059252;45,02923976608187;45,997610513739545
if-quart;92;62697;128;73;41,81818181818182;99,6809017304334;55,75757575757576;99,79625945085554;74,5948892126918;47,79220779220779;52,27272727272727
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;104;62090;547;54;15,97542242703533;99,04291742973167;65,82278481012658;99,1267142423807;80,77621172418978;25,710754017305312;40,53000779423226
