;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;1;39252;280;60;0,35587188612099646;99,1412623443538;1,639344262295082;99,2917130425984;12,758263991226762;0,584795321637427;0,9523809523809524
pca-quart;2;38976;553;59;0,36036036036036034;98,45415508966911;3,278688524590164;98,60102709403223;17,98004605238839;0,6493506493506492;1,2515644555694618
mlp-1camadas-min;1;39284;248;60;0,40160642570281124;99,22208471194404;1,639344262295082;99,3726601234443;12,76346348772024;0,6451612903225806;1,0141987829614605
mlp-1camadas-quart;2;38980;549;59;0,3629764065335753;98,46425865117453;3,278688524590164;98,61114624705912;17,980968650128812;0,6535947712418301;1,2578616352201257
mlp-3camadas-min;1;39423;109;60;0,9090909090909091;99,5731568711641;1,639344262295082;99,72427400586866;12,786024261007148;1,1695906432748537;1,4124293785310733
mlp-3camadas-quart;2;39276;253;59;0,7843137254901961;99,2119222025764;3,278688524590164;99,35996357104911;18,04911001584553;1,2658227848101264;2,0040080160320644
oc-svm-min;0;39532;0;61;0,0;99,84593236178112;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;39529;0;61;0,0;99,84592068704218;0,0;100,0;0,0;0,0;0,0
if-min;0;39528;4;61;0,0;99,83582956583234;0,0;99,98988161489426;0,0;0,0;0,0
if-quart;0;39517;12;61;0,0;99,81561000252589;0,0;99,96964254091932;0,0;0,0;0,0
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;0;39417;68;61;0,0;99,67379760279168;0,0;99,82778270229201;0,0;0,0;0,0
