;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;73;65612;38;65;65,76576576576576;99,84343649297745;52,89855072463768;99,94211728865194;72,71033737317853;58,63453815261044;55,05279034690799
pca-quart;105;65545;102;33;50,72463768115942;99,79478604545109;76,08695652173913;99,84462351668773;87,16004548211085;60,869565217391305;69,1699604743083
mlp-1camadas-min;81;65625;25;57;76,41509433962264;99,87535720800146;58,69565217391305;99,96191926884997;76,59849896728521;66,39344262295083;61,550151975683896
mlp-1camadas-quart;106;65607;40;32;72,6027397260274;99,89055255757391;76,81159420289855;99,9390680457599;87,61551882941043;74,64788732394366;75,93123209169053
mlp-3camadas-min;103;65631;19;35;84,42622950819673;99,91791816136681;74,6376811594203;99,97105864432596;86,38059967530273;79,23076923076924;76,40949554896143
mlp-3camadas-quart;116;65616;31;22;78,91156462585035;99,91943452154746;84,05797101449275;99,95277773546393;91,66148424341417;81,40350877192982;82,97567954220314
oc-svm-min;0;65650;0;138;0,0;99,79023530127076;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;65647;0;138;0,0;99,79022573535;0,0;100,0;0,0;0,0;0,0
if-min;48;65533;117;90;29,09090909090909;99,68535295190613;34,78260869565217;99,82178217821782;58,92420545758404;31,683168316831683;33,472803347280326
if-quart;94;65518;129;44;42,152466367713004;99,737022117504;68,1159420289855;99,80349444757567;82,45125251978432;52,0775623268698;60,64516129032258
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;80;65623;21;42;79,20792079207921;99,9042058206368;65,57377049180327;99,96800926208032;80,96467931063593;71,74887892376681;67,91171477079797
