;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;55;60811;302;28;15,406162464985995;99,46074906856657;66,26506024096386;99,50583345605682;81,2019707168054;25,0;39,912917271407835
pca-quart;70;60555;555;13;11,2;99,07178925694116;84,33734939759036;99,09180166912125;91,4173938580914;19,774011299435028;36,57262277951933
mlp-1camadas-min;53;60915;198;30;21,115537848605577;99,62742662919145;63,855421686746986;99,67601001423593;79,78003291244903;31,736526946107784;45,45454545454546
mlp-1camadas-quart;67;60777;333;16;16,75;99,4296733286487;80,72289156626506;99,45508100147275;89,60079084135359;27,74327122153209;45,76502732240437
mlp-3camadas-min;54;60916;197;29;21,51394422310757;99,63069481665468;65,06024096385542;99,67764632729534;80,52981863113683;32,33532934131736;46,312178387650086
mlp-3camadas-quart;68;60794;316;15;17,708333333333332;99,45908845783015;81,92771084337349;99,48289968908526;90,27960035128483;29,1220556745182;47,48603351955307
oc-svm-min;0;61113;0;83;0,0;99,86437022027583;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;61110;0;83;0,0;99,86436357099669;0,0;100,0;0,0;0,0;0,0
if-min;15;61075;38;68;28,30188679245283;99,82678606444865;18,072289156626507;99,93782010374225;42,498296231705005;22,058823529411764;19,480519480519483
if-quart;48;61028;82;35;36,92307692307692;99,80880166032063;57,83132530120482;99,8658157421044;75,99587144478193;45,070422535211264;51,94805194805194
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;54;60952;144;28;27,272727272727273;99,7188531825166;65,85365853658537;99,76430535550608;81,05457728605543;38,57142857142858;51,33079847908746
