;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;126;91358;360;38;25,925925925925927;99,56683572408089;76,82926829268293;99,60749253145511;87,48011641316315;38,769230769230774;55,166374781085814
pca-quart;134;90943;772;30;14,79028697571744;99,12711283318278;81,70731707317073;99,15826200730524;90,01086353466135;25,04672897196262;42,89372599231754
mlp-1camadas-min;109;91423;295;55;26,980198019801982;99,61907664177967;66,46341463414635;99,67836193549795;81,3938836729856;38,38028169014085;51,41509433962264
mlp-1camadas-quart;117;91084;631;47;15,641711229946525;99,26207294376299;71,34146341463415;99,31199912773265;84,17281837033448;25,657894736842106;41,66666666666667
mlp-3camadas-min;101;91330;388;63;20,65439672801636;99,5091530441218;61,58536585365854;99,57696417279051;78,31017666419832;30,934150076569676;44,10480349344978
mlp-3camadas-quart;124;90985;730;40;14,519906323185012;99,16194124881638;75,60975609756098;99,20405604317723;86,60712719697727;24,361493123772103;41,059602649006614
oc-svm-min;0;91718;0;164;0,0;99,82151019786248;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;91715;0;164;0,0;99,82150436987777;0,0;100,0;0,0;0,0;0,0
if-min;78;91661;57;86;57,77777777777778;99,8443655993557;47,5609756097561;99,93785298414706;68,94303292045113;52,173913043478265;49,304677623261696
if-quart;92;91589;126;72;42,20183486238532;99,78449917826707;56,09756097560975;99,86261789238401;74,84683892057186;48,167539267015705;52,63157894736842
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;97;91522;161;56;37,5968992248062;99,76370922078488;63,39869281045752;99,82439492599501;79,55335410215557;47,201946472019465;55,74712643678162
