;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;94;65297;353;44;21,02908277404922;99,39654648264121;68,1159420289855;99,46230007616147;82,3101953955728;32,136752136752136;47,047047047047045
pca-quart;114;65024;623;24;15,468113975576662;99,01649312153226;82,6086956521739;99,05098481271041;90,45702105663935;26,057142857142857;44,22032583397982
mlp-1camadas-min;89;65436;214;49;29,372937293729372;99,6002310451754;64,4927536231884;99,67402894135567;80,17638424838951;40,36281179138322;52,046783625730995
mlp-1camadas-quart;108;65322;325;30;24,942263279445726;99,46036330470471;78,26086956521739;99,50492787179917;88,24591877968771;37,828371278458846;54,82233502538071
mlp-3camadas-min;99;65451;199;39;33,22147651006711;99,63823189639447;71,73913043478261;99,69687738004569;84,57048711168468;45,412844036697244;58,235294117647065
mlp-3camadas-quart;113;65356;291;25;27,97029702970297;99,51964733601885;81,8840579710145;99,55672003290326;90,28902610272364;41,69741697416974;59,10041841004185
oc-svm-min;0;65650;0;138;0,0;99,79023530127076;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;65647;0;138;0,0;99,79022573535;0,0;100,0;0,0;0,0;0,0
if-min;42;65646;4;96;91,30434782608695;99,84799659512373;30,434782608695652;99,993907083016;55,166047749188124;45,65217391304348;35,11705685618729
if-quart;68;65614;33;70;67,32673267326733;99,84342935319602;49,27536231884058;99,94973113775191;70,17876612967363;56,90376569037657;52,06738131699847
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;83;65461;176;52;32,04633204633205;99,65334792921;61,48148148148148;99,73185855538797;78,30493225133917;42,131979695431475;51,93992490613267
