;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;61;60463;650;22;8,579465541490858;98,90188901235375;73,49397590361446;98,93639651138055;85,27150251518879;15,365239294710328;29,24256951102589
pca-quart;73;59803;1307;10;5,2898550724637685;97,84779304822447;87,95180722891567;97,86123384061528;92,77430880331922;9,979494190020507;21,32009345794393
mlp-1camadas-min;61;60657;456;22;11,798839458413926;99,21890319628734;73,49397590361446;99,25384124490698;85,4081929137619;20,333333333333332;35,924617196702
mlp-1camadas-quart;73;60290;820;10;8,174692049272117;98,64363570996683;87,95180722891567;98,65815742104402;93,15129222429327;14,959016393442624;29,795918367346943
mlp-3camadas-min;61;60695;418;22;12,734864300626304;99,28099875808877;73,49397590361446;99,31602114116473;85,43494170766212;21,708185053380785;37,60789149198521
mlp-3camadas-quart;73;60300;810;10;8,267270668176671;98,65997744840097;87,95180722891567;98,67452135493373;93,15901717286768;15,113871635610767;30,04115226337449
oc-svm-min;0;61106;7;83;0,0;99,85293156415452;0,0;99,98854580858409;0,0;0,0;0,0
oc-svm-quart;0;61100;10;83;0,0;99,84802183256255;0,0;99,9836360661103;0,0;0,0;0,0
if-min;3;61072;41;80;6,818181818181818;99,80227465847442;3,6144578313253013;99,932911164564;19,005349072455733;4,724409448818897;3,98936170212766
if-quart;15;60997;113;68;11,71875;99,70421453434216;18,072289156626507;99,8150875470463;42,472192365643316;14,218009478672986;16,304347826086957
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;61;60752;305;22;16,666666666666668;99,46516192345436;73,49397590361446;99,50046677694613;85,51423804082727;27,171492204899774;43,69627507163323
