;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;107;61494;1334;58;7,425399028452463;97,79023066054958;64,84848484848484;97,87674285350481;79,66905594993928;13,325031133250311;25,464064731080434
pca-quart;128;60630;2195;37;5,510116229014206;96,45658040958882;77,57575757575758;96,50616792678073;86,52478886222892;10,289389067524116;21,454911163258465
mlp-1camadas-min;104;62286;542;61;16,09907120743034;99,04275078183291;63,03030303030303;99,13732730629656;79,0484394642311;25,64734895191122;39,816232771822364
mlp-1camadas-quart;113;61970;855;52;11,673553719008265;98,56008890300048;68,48484848484848;98,63907680063669;82,19052396339214;19,94704324801412;34,70515970515971
mlp-3camadas-min;99;62387;441;66;18,333333333333332;99,19514866731224;60,0;99,29808365696823;77,18733717014788;28,085106382978726;41,25
mlp-3camadas-quart;109;62156;669;56;14,010282776349614;98,84902365454835;66,06060606060606;98,93513728611222;80,84376988865523;23,117709437963946;37,899860917941595
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;44;62795;33;121;57,142857142857146;99,75552839204356;26,666666666666668;99,94747564780035;51,626214438739126;36,36363636363637;29,850746268656717
if-quart;75;62747;78;90;49,01960784313726;99,7332909985712;45,45454545454545;99,8758456028651;67,37812080910683;47,169811320754725;46,125461254612546
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;100;62433;314;64;24,154589371980677;99,3991511818283;60,97560975609756;99,4995776690519;77,89125380198105;34,602076124567475;46,728971962616825
