;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;1;39321;211;60;0,4716981132075472;99,31553557447023;1,639344262295082;99,46625518567237;12,769472766352196;0,7326007326007326;1,0964912280701755
pca-quart;2;39133;396;59;0,5025125628140703;98,85071987875726;3,278688524590164;98,99820385033773;18,016222548557177;0,8714596949891067;1,557632398753894
mlp-1camadas-min;1;39437;95;60;1,0416666666666667;99,60851665698482;1,639344262295082;99,75968835373874;12,78829436285571;1,2738853503184713;1,4705882352941178
mlp-1camadas-quart;1;39300;229;60;0,43478260869565216;99,27001768123263;1,639344262295082;99,42067848921046;12,766546864159128;0,6872852233676975;1,0548523206751055
mlp-3camadas-min;0;39484;48;61;0,0;99,72469881039578;0,0;99,87857937873116;0,0;0,0;0,0
mlp-3camadas-quart;0;39364;165;61;0,0;99,42914877494317;0,0;99,58258493764072;0,0;0,0;0,0
oc-svm-min;0;39532;0;61;0,0;99,84593236178112;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;39529;0;61;0,0;99,84592068704218;0,0;100,0;0,0;0,0;0,0
if-min;0;39520;12;61;0,0;99,81562397393479;0,0;99,96964484468279;0,0;0,0;0,0
if-quart;0;39489;40;61;0,0;99,74488507198788;0,0;99,89880846973108;0,0;0,0;0,0
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;0;39471;31;61;0,0;99,76745949498269;0,0;99,92152296086275;0,0;0,0;0,0
