;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;115;91523;195;49;37,096774193548384;99,73444200169783;70,1219512195122;99,78739178787151;83,64978553033761;48,52320675105485;59,523809523809526
pca-quart;129;91256;459;35;21,93877551020408;99,46233633365622;78,65853658536585;99,49953660797034;88,46744000198595;34,30851063829787;51,848874598070736
mlp-1camadas-min;119;91540;178;45;40,06734006734007;99,75729740319105;72,5609756097561;99,80592686277502;85,10003187307817;51,62689804772234;62,43441762854145
mlp-1camadas-quart;124;91362;353;40;25,9958071278826;99,57226352049979;75,60975609756098;99,61511203183775;86,78637176630018;38,68954758190328;54,72197705207413
mlp-3camadas-min;120;91496;222;44;35,08771929824562;99,71049824775255;73,17073170731707;99,75795372773065;85,4363064971955;47,430830039525695;60,120240480961925
mlp-3camadas-quart;127;91262;453;37;21,896551724137932;99,46668988561042;77,4390243902439;99,50607861309491;87,78185261599909;34,13978494623656;51,37540453074434
oc-svm-min;0;91718;0;164;0,0;99,82151019786248;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;91714;1;164;0,0;99,82041598188923;0,0;99,99890966581258;0,0;0,0;0,0
if-min;65;91640;78;99;45,45454545454545;99,80736161598573;39,63414634146341;99,9149567151486;62,92888062050034;42,34527687296416;40,675844806007504
if-quart;102;91580;135;62;43,037974683544306;99,78558756625561;62,19512195121951;99,85280488469716;78,8058207049141;50,87281795511222;57,11086226203807
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;110;91593;105;48;51,16279069767442;99,8334349416478;69,62025316455696;99,88549368579467;83,39096688414028;58,98123324396782;64,93506493506493
