;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;99;91155;563;65;14,954682779456194;99,31651466010753;60,36585365853659;99,38616193113674;77,45663629940704;23,97094430992736;37,55690440060698
pca-quart;122;90653;1062;42;10,304054054054054;98,79841966064062;74,39024390243902;98,84206509295099;85,74896693305044;18,100890207715135;33,152173913043484
mlp-1camadas-min;95;91451;267;69;26,243093922651934;99,63431357610848;57,926829268292686;99,70889029416254;75,99881488944995;36,121673003802286;46,66011787819254
mlp-1camadas-quart;106;91180;535;58;16,536661466458657;99,35458592278975;64,63414634146342;99,41667120972578;80,16053689784376;26,335403726708076;40,86353122590594
mlp-3camadas-min;94;91463;255;70;26,93409742120344;99,64628545308112;57,31707317073171;99,72197387644736;75,60272265868558;36,64717348927875;46,766169154228855
mlp-3camadas-quart;101;91126;589;63;14,63768115942029;99,2903710314653;61,58536585365854;99,35779316360464;78,22394801077688;23,653395784543324;37,518573551262996
oc-svm-min;0;91718;0;164;0,0;99,82151019786248;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;91715;0;164;0,0;99,82150436987777;0,0;100,0;0,0;0,0;0,0
if-min;27;91633;85;137;24,107142857142858;99,7583857556431;16,463414634146343;99,90732462548246;40,556327623412564;19,56521739130435;17,578125
if-quart;53;91523;192;111;21,632653061224488;99,6702184394693;32,31707317073171;99,79065583601374;56,78857214623169;25,91687041564792;29,411764705882355
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;81;91526;143;76;36,160714285714285;99,76150545597108;51,59235668789809;99,84400397080802;71,77177346290003;42,519685039370074;47,53521126760563
