,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,93.50710540314614,122.0,88.40579710144928,61401.0,93.51782749744886,4256.0,6.482172502551137,16.0,11.594202898550725,93.50710540314614,88.40579710144928,93.51782749744886,90.9258933588656,2.7866605756052993,5.403011514614704
15 neurônios,92.48575119689946,127.0,92.02898550724638,60724.0,92.4867112417564,4933.0,7.5132887582436,11.0,7.971014492753623,92.48575119689946,92.02898550724638,92.4867112417564,92.25756450546741,2.5098814229249014,4.886494805694499
25 neurônios,91.77141120145907,129.0,93.47826086956522,60252.0,91.76782368978175,5405.0,8.232176310218255,9.0,6.521739130434782,91.77141120145907,93.47826086956522,91.76782368978175,92.6190939402113,2.3310444524756053,4.548660084626234
35 neurônios,91.19841933277604,130.0,94.20289855072464,59874.0,91.19210442146306,5783.0,8.807895578536941,8.0,5.797101449275362,91.19841933277604,94.20289855072464,91.19210442146306,92.68527693998747,2.198545577541011,4.296810444554619
45 neurônios,90.70750056995212,129.0,93.47826086956522,59552.0,90.701676896599,6105.0,9.298323103401009,9.0,6.521739130434782,90.70750056995212,93.47826086956522,90.701676896599,92.07950376846792,2.0692974013474497,4.048964218455744
55 neurônios,90.20442282848241,129.0,93.47826086956522,59221.0,90.19754177010829,6436.0,9.80245822989171,9.0,6.521739130434782,90.20442282848241,93.47826086956522,90.19754177010829,91.8232505380837,1.964965727341965,3.849022825600477
65 neurônios,89.36545330192264,132.0,95.65217391304348,58666.0,89.3522396697991,6991.0,10.647760330200892,6.0,4.3478260869565215,89.36545330192264,95.65217391304348,89.3522396697991,92.44855849831066,1.8531517618980766,3.6358628288114585
75 neurônios,89.30921802568584,130.0,94.20289855072464,58631.0,89.29893233013998,7026.0,10.70106766986003,8.0,5.797101449275362,89.30921802568584,94.20289855072464,89.29893233013998,91.71814576725917,1.8166573504751258,3.5645736221551956
85 neurônios,88.79094156090888,129.0,93.47826086956522,58291.0,88.78108960202263,7366.0,11.218910397977368,9.0,6.521739130434782,88.79094156090888,93.47826086956522,88.78108960202263,91.09940644209551,1.7211474316210806,3.380060264640377
95 neurônios,88.08420092712213,131.0,94.92753623188406,57824.0,88.069817384285,7833.0,11.930182615715005,7.0,5.072463768115942,88.08420092712213,94.92753623188406,88.069817384285,91.43440698490983,1.6449020592667,3.233769439644532
105 neurônios,88.90189224105175,131.0,94.92753623188406,58362.0,88.88922734818831,7295.0,11.110772651811688,7.0,5.072463768115942,88.90189224105175,94.92753623188406,88.88922734818831,91.85877938291651,1.7640721788311338,3.4637757800105766
