,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,93.87795425184285,122.0,88.40579710144928,61645.0,93.88945580821542,4012.0,6.1105441917845775,16.0,11.594202898550725,93.87795425184285,88.40579710144928,93.88945580821542,91.10637837246402,2.9511369134010645,5.711610486891387
15 neurônios,92.59670187704234,130.0,94.20289855072464,60794.0,92.59332592107468,4863.0,7.406674078925324,8.0,5.797101449275362,92.59670187704234,94.20289855072464,92.59332592107468,93.39464485834924,2.603645103144402,5.067238355096473
25 neurônios,92.98274944904628,127.0,92.02898550724638,61051.0,92.98475410085749,4606.0,7.0152458991425135,11.0,7.971014492753623,92.98274944904628,92.02898550724638,92.98475410085749,92.50563543667316,2.683287555461652,5.21453500307945
35 neurônios,92.09362413557261,129.0,93.47826086956522,60464.0,92.09071386143138,5193.0,7.909286138568622,9.0,6.521739130434782,92.09362413557261,93.47826086956522,92.09071386143138,92.78189356767498,2.4239007891770012,4.725274725274726
45 neurônios,92.30792613420472,130.0,94.20289855072464,60604.0,92.30394322006794,5053.0,7.696056779932071,8.0,5.797101449275362,92.30792613420472,94.20289855072464,92.30394322006794,93.24858711525826,2.5081998842369284,4.886299567750423
55 neurônios,90.99627631278973,130.0,94.20289855072464,59741.0,90.98953653075833,5916.0,9.010463469241666,8.0,5.797101449275362,90.99627631278973,94.20289855072464,90.98953653075833,92.58227734822945,2.1501819384717167,4.204398447606726
65 neurônios,90.88076601565469,129.0,93.47826086956522,59666.0,90.87530651720304,5991.0,9.12469348279696,9.0,6.521739130434782,90.88076601565469,93.47826086956522,90.87530651720304,92.16759522314123,2.107843137254902,4.1227229146692235
75 neurônios,91.3154495022418,129.0,93.47826086956522,59952.0,91.31090363556056,5705.0,8.689096364439436,9.0,6.521739130434782,91.3154495022418,93.47826086956522,91.31090363556056,92.38822690300242,2.2111758656153584,4.320160750167449
85 neurônios,91.68933809559996,129.0,93.47826086956522,60198.0,91.68557808002193,5459.0,8.314421919978068,9.0,6.521739130434782,91.68933809559996,93.47826086956522,91.68557808002193,92.57758036231655,2.3085182534001434,4.505763185469788
95 neurônios,91.95075613648453,130.0,94.20289855072464,60369.0,91.946022510928,5288.0,8.053977489071995,8.0,5.797101449275362,91.95075613648453,94.20289855072464,91.946022510928,93.06761966838732,2.399409376153562,4.679625629949604
105 neurônios,91.77901056311269,130.0,94.20289855072464,60256.0,91.77391595717135,5401.0,8.22608404282864,8.0,5.797101449275362,91.77901056311269,94.20289855072464,91.77391595717135,92.98047587809036,2.350388718134153,4.586346798377139
