;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
128-0.01-1.0;40;717;64940;98;0,2898550724637681;0,0109203892958861;0,9890796107041138;0,7101449275362319;0,0615574022776238;1,150543354358234;28,98550724637681;1,0920389295886197;5,626126758873863;0,122853896004177
128-0.01-0.8;49;622;65035;89;0,3550724637681159;0,0094734757908524;0,9905265242091476;0,644927536231884;0,0752873210005531;1,019834333915951;35,507246376811594;0,947347579085246;5,799802056540881;0,1502560485725675
128-0.01-0.5;40;511;65146;98;0,2898550724637681;0,007782871590234;0,992217128409766;0,7101449275362319;0,0613628693277697;0,8374496542290447;28,98550724637681;0,7782871590234095;4,749636626904742;0,1224664748025228
128-0.05-1.0;15;3179;62478;123;0,108695652173913;0,048418295078971;0,951581704921029;0,8913043478260869;0,0240026883010897;4,854472224333156;10,869565217391305;4,841829507897102;7,254555920769872;0,0478996024332998
128-0.05-0.8;17;3167;62490;121;0,1231884057971014;0,0482355270572825;0,9517644729427176;0,8768115942028986;0,0271969539411585;4,839273501025914;12,318840579710145;4,823552705728255;7,708474350330024;0,0542740841248303
128-0.05-0.5;14;3023;62634;124;0,1014492753623188;0,0460423107970208;0,9539576892029792;0,8985507246376812;0,0223470821095645;4,615852268409453;10,144927536231885;4,604231079702088;6,834441503418138;0,0445959290287643
128-0.1-1.0;6;6203;59454;132;0,0434782608695652;0,0944758365444659;0,905524163455534;0,9565217391304348;0,0100908173562058;9,436887301466676;4,3478260869565215;9,447583654446596;6,409091251613362;0,020134903855834
128-0.1-0.8;10;6231;59426;128;0,072463768115942;0,094902295261739;0,905097704738261;0,927536231884058;0,0168248199744262;9,485523216049852;7,246376811594203;9,490229526173904;8,292754619254884;0,0335716923490113
128-0.1-0.5;11;6132;59525;127;0,0797101449275362;0,0933944590828091;0,9066055409171908;0,9202898550724636;0,0184762160709486;9,33657572763888;7,971014492753623;9,339445908280917;8,628143409169535;0,0368669772430204
128-0.15-1.0;3;9363;56294;135;0,0217391304347826;0,1426047489224302;0,8573952510775698;0,9782608695652174;0,0053288807574115;14,235124249563036;2,1739130434782608;14,26047489224302;5,56785707201984;0,0106317001860547
128-0.15-0.8;4;9576;56081;134;0,0289855072463768;0,1458488813074006;0,8541511186925994;0,9710144927536232;0,0071320317375412;14,56037692833802;2,898550724637681;14,584888130740058;6,501925719363157;0,0142290521672625
128-0.15-0.5;3;9394;56263;135;0,0217391304347826;0,1430768996451254;0,8569231003548746;0,9782608695652174;0,0053318167276863;14,282240291815487;2,1739130434782608;14,307689964512544;5,577066777069899;0,0106375434366356
128-0.3-1.0;2;19692;45965;136;0,0144927536231884;0,2999223235907824;0,7000776764092176;0,9855072463768116;0,0043509474188004;29,93236568128277;1,4492753623188406;29,99223235907824;6,592951040236381;0,0086758486064418
