;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
poly-scale-0.01;23;28175;37482;115;0,1666666666666666;0,429124084256058;0,570875915743942;0,8333333333333334;0,0613251566457805;42,85735998176153;16,666666666666668;42,9124084256058;26,74335070804386;0,1222006747602476
poly-scale-0.05;29;27200;38457;109;0,2101449275362318;0,4142741824938696;0,5857258175061304;0,7898550724637681;0,0753520760796133;41,38460369328976;21,014492753623188;41,42741824938697;29,505527966858335;0,15016570008285
poly-scale-0.1;31;28785;36872;107;0,2246376811594203;0,438414792025222;0,5615852079747781;0,7753623188405797;0,0840040105140503;43,7966410821491;22,463768115942027;43,8414792025222;31,382237375071806;0,1673820901163575
poly-scale-0.15;31;30648;35009;107;0,2246376811594203;0,4667895273923572;0,5332104726076428;0,7753623188405797;0,0884703196347032;46,62816323428832;22,463768115942027;46,678952739235726;32,381864835571285;0,1762465177099323
poly-scale-0.3;34;36901;28756;104;0,2463768115942029;0,5620268973605251;0,4379731026394748;0,7536231884057971;0,118096561306009;56,13648453529903;24,63768115942029;56,20268973605251;37,21161041958121;0,2350663716814159
poly-scale-0.4;39;40987;24670;99;0,2826086956521739;0,6242594087454498;0,3757405912545501;0,717391304347826;0,1578372253025213;62,354282240291816;28,26086956521739;62,425940874544985;42,0025162644036;0,3139211977301082
poly-auto-0.01;23;28175;37482;115;0,1666666666666666;0,429124084256058;0,570875915743942;0,8333333333333334;0,0613251566457805;42,85735998176153;16,666666666666668;42,9124084256058;26,74335070804386;0,1222006747602476
poly-auto-0.05;29;27200;38457;109;0,2101449275362318;0,4142741824938696;0,5857258175061304;0,7898550724637681;0,0753520760796133;41,38460369328976;21,014492753623188;41,42741824938697;29,505527966858335;0,15016570008285
poly-auto-0.1;31;28785;36872;107;0,2246376811594203;0,438414792025222;0,5615852079747781;0,7753623188405797;0,0840040105140503;43,7966410821491;22,463768115942027;43,8414792025222;31,382237375071806;0,1673820901163575
poly-auto-0.15;31;30648;35009;107;0,2246376811594203;0,4667895273923572;0,5332104726076428;0,7753623188405797;0,0884703196347032;46,62816323428832;22,463768115942027;46,678952739235726;32,381864835571285;0,1762465177099323
poly-auto-0.3;34;36901;28756;104;0,2463768115942029;0,5620268973605251;0,4379731026394748;0,7536231884057971;0,118096561306009;56,13648453529903;24,63768115942029;56,20268973605251;37,21161041958121;0,2350663716814159
poly-auto-0.4;39;40987;24670;99;0,2826086956521739;0,6242594087454498;0,3757405912545501;0,717391304347826;0,1578372253025213;62,354282240291816;28,26086956521739;62,425940874544985;42,0025162644036;0,3139211977301082
poly-0.001-0.01;30;53434;12223;108;0,217391304347826;0,8138355392418173;0,1861644607581827;0,782608695652174;0,2448379988574226;81,25845428983965;21,73913043478261;81,38355392418173;42,06195066807947;0,4842224194980227
poly-0.001-0.05;27;41293;24364;111;0,1956521739130435;0,6289199932985059;0,3710800067014941;0,8043478260869565;0,1106965684063794;62,801124705524735;19,565217391304348;62,89199932985058;35,07842127380156;0,2201475804150189
poly-0.001-0.1;32;35489;30168;106;0,2318840579710145;0,5405211934751816;0,4594788065248184;0,7681159420289855;0,1059602649006622;53,98738505965499;23,18840579710145;54,052119347518165;35,403142199861435;0,2109565561342211
poly-0.001-0.15;31;37562;28095;107;0,2246376811594203;0,5720943692218652;0,4279056307781348;0,7753623188405797;0,1102183033492142;57,13656052891557;22,463768115942027;57,20943692218651;35,84884272976758;0,2193603170110387
poly-0.001-0.3;35;38761;26896;103;0,2536231884057971;0,5903559407222383;0,4096440592777617;0,7463768115942029;0,1299617541123612;58,964966942776805;25,36231884057971;59,03559407222383;38,694696791715245;0,2585983966899405
poly-0.001-0.4;40;41410;24247;98;0,2898550724637681;0,6307019815099685;0,3692980184900315;0,7101449275362319;0,1646971630913657;62,99870810851888;28,98550724637681;63,070198150996845;42,75653968150534;0,3275332650972364
poly-0.01-0.01;23;25371;40286;115;0,1666666666666666;0,3864172898548517;0,6135827101451483;0,8333333333333334;0,0570592175444689;38,59563796641082;16,666666666666668;38,64172898548517;25,37772283765336;0,1137290775582861
poly-0.01-0.05;29;26839;38818;109;0,2101449275362318;0,4087759111747414;0,5912240888252586;0,7898550724637681;0,0746518392668674;40,83592978189832;21,014492753623188;40,87759111747415;29,309074402371223;0,1487751699371553
poly-0.01-0.1;31;28625;37032;107;0,2246376811594203;0,4359778850693757;0,5640221149306243;0,7753623188405797;0,0836413674014515;43,55346150923322;22,463768115942027;43,59778850693757;31,29489752959303;0,1666621865003629
poly-0.01-0.15;31;30519;35138;107;0,2246376811594203;0,4648247711592062;0,5351752288407938;0,7753623188405797;0,0881458102306008;46,43209970362489;22,463768115942027;46,48247711592062;32,313643981863486;0,1756025717279859
poly-0.01-0.3;34;36872;28785;104;0,2463768115942029;0,5615852079747781;0,438414792025222;0,7536231884057971;0,1179777230299455;56,09240823770804;24,63768115942029;56,1585207974778;37,196985493355925;0,2348309562454674
poly-0.01-0.4;39;40979;24678;99;0,2826086956521739;0,6241375633976575;0,3758624366023425;0,717391304347826;0,1577861390945503;62,34212326164602;28,26086956521739;62,41375633976576;41,99841695818285;0,3138201569100785
poly-0.1-0.01;22;25270;40387;116;0,1594202898550724;0,3848789923389737;0,6151210076610263;0,8405797101449275;0,054443317082828;38,44061098867695;15,942028985507246;38,48789923389737;24,77045024173105;0,1085160431104644
poly-0.1-0.05;29;26823;38834;109;0,2101449275362318;0,4085322204791568;0,5914677795208432;0,7898550724637681;0,0746211049069809;40,811611824606736;21,014492753623188;40,853222047915686;29,300336835744453;0,1487141355349862
poly-0.1-0.1;31;28617;37040;107;0,2246376811594203;0,4358560397215834;0,5641439602784166;0,7753623188405797;0,0836233174179277;43,54130253058743;22,463768115942027;43,58560397215834;31,29052413788952;0,1666263538391249
poly-0.1-0.15;31;30511;35146;107;0,2246376811594203;0,4647029258114138;0,5352970741885862;0,7753623188405797;0,0881257639935184;46,4199407249791;22,463768115942027;46,470292581141386;32,3094084876641;0,1755627920147246
poly-0.1-0.3;34;36869;28788;104;0,2463768115942029;0,5615395159693559;0,4384604840306441;0,7536231884057971;0,1179654430643258;56,08784862071586;24,63768115942029;56,15395159693559;37,19547224175032;0,2348066298342541
poly-0.1-0.4;39;40978;24679;99;0,2826086956521739;0,6241223327291835;0,3758776672708165;0,717391304347826;0,1577797556436604;62,3406033893153;28,26086956521739;62,41223327291835;41,99790451677162;0,3138075313807531
poly-0.5-0.01;22;25270;40387;116;0,1594202898550724;0,3848789923389737;0,6151210076610263;0,8405797101449275;0,054443317082828;38,44061098867695;15,942028985507246;38,48789923389737;24,77045024173105;0,1085160431104644
poly-0.5-0.05;29;26823;38834;109;0,2101449275362318;0,4085322204791568;0,5914677795208432;0,7898550724637681;0,0746211049069809;40,811611824606736;21,014492753623188;40,853222047915686;29,300336835744453;0,1487141355349862
poly-0.5-0.1;31;28617;37040;107;0,2246376811594203;0,4358560397215834;0,5641439602784166;0,7753623188405797;0,0836233174179277;43,54130253058743;22,463768115942027;43,58560397215834;31,29052413788952;0,1666263538391249
poly-0.5-0.15;31;30511;35146;107;0,2246376811594203;0,4647029258114138;0,5352970741885862;0,7753623188405797;0,0881257639935184;46,4199407249791;22,463768115942027;46,470292581141386;32,3094084876641;0,1755627920147246
poly-0.5-0.3;34;36869;28788;104;0,2463768115942029;0,5615395159693559;0,4384604840306441;0,7536231884057971;0,1179654430643258;56,08784862071586;24,63768115942029;56,15395159693559;37,19547224175032;0,2348066298342541
poly-0.5-0.4;39;40978;24679;99;0,2826086956521739;0,6241223327291835;0,3758776672708165;0,717391304347826;0,1577797556436604;62,3406033893153;28,26086956521739;62,41223327291835;41,99790451677162;0,3138075313807531
poly-1.0-0.01;22;25270;40387;116;0,1594202898550724;0,3848789923389737;0,6151210076610263;0,8405797101449275;0,054443317082828;38,44061098867695;15,942028985507246;38,48789923389737;24,77045024173105;0,1085160431104644
poly-1.0-0.05;29;26823;38834;109;0,2101449275362318;0,4085322204791568;0,5914677795208432;0,7898550724637681;0,0746211049069809;40,811611824606736;21,014492753623188;40,853222047915686;29,300336835744453;0,1487141355349862
poly-1.0-0.1;31;28617;37040;107;0,2246376811594203;0,4358560397215834;0,5641439602784166;0,7753623188405797;0,0836233174179277;43,54130253058743;22,463768115942027;43,58560397215834;31,29052413788952;0,1666263538391249
poly-1.0-0.15;31;30511;35146;107;0,2246376811594203;0,4647029258114138;0,5352970741885862;0,7753623188405797;0,0881257639935184;46,4199407249791;22,463768115942027;46,470292581141386;32,3094084876641;0,1755627920147246
poly-1.0-0.3;34;36869;28788;104;0,2463768115942029;0,5615395159693559;0,4384604840306441;0,7536231884057971;0,1179654430643258;56,08784862071586;24,63768115942029;56,15395159693559;37,19547224175032;0,2348066298342541
poly-1.0-0.4;39;40978;24679;99;0,2826086956521739;0,6241223327291835;0,3758776672708165;0,717391304347826;0,1577797556436604;62,3406033893153;28,26086956521739;62,41223327291835;41,99790451677162;0,3138075313807531
