;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
sigmoid-scale-0.01;99;1267;64390;39;0,717391304347826;0,0192972569566078;0,9807027430433922;0,2826086956521739;0,1535145528694816;2,076145603769284;71,73913043478261;1,9297256956607824;11,76591872249509;0,306373497145156
sigmoid-scale-0.05;67;1206;64451;71;0,4855072463768116;0,0183681861796914;0,9816318138203086;0,5144927536231884;0,1038469884373353;1,934797477011931;48,55072463768116;1,8368186179691424;9,443456725711508;0,2072506805246226
sigmoid-scale-0.1;43;3427;62230;95;0,3115942028985507;0,0521955008605327;0,9478044991394672;0,6884057971014492;0,0690507924782811;5,27395698761304;31,159420289855078;5,219550086053277;12,752966511964315;0,1377962218198715
sigmoid-scale-0.15;33;5635;60022;105;0,2391304347826087;0,0858248168512116;0,9141751831487884;0,7608695652173914;0,0549496295062859;8,614636370544874;23,91304347826087;8,58248168512116;14,325964459249503;0,1096473011812004
sigmoid-scale-0.3;12;13334;52323;126;0,0869565217391304;0,2030857334328403;0,7969142665671596;0,9130434782608696;0,0229292060762396;20,28421612584543;8,695652173913043;20,308573343284035;13,288953681219612;0,0457378080155508
sigmoid-scale-0.4;11;18710;46947;127;0,0797101449275362;0,2849658071492758;0,7150341928507242;0,9202898550724636;0,023425188466289;28,453529903488107;7,971014492753623;28,49658071492758;15,071385399909694;0,0467130966536436
sigmoid-auto-0.01;99;1267;64390;39;0,717391304347826;0,0192972569566078;0,9807027430433922;0,2826086956521739;0,1535145528694816;2,076145603769284;71,73913043478261;1,9297256956607824;11,76591872249509;0,306373497145156
sigmoid-auto-0.05;67;1206;64451;71;0,4855072463768116;0,0183681861796914;0,9816318138203086;0,5144927536231884;0,1038469884373353;1,934797477011931;48,55072463768116;1,8368186179691424;9,443456725711508;0,2072506805246226
sigmoid-auto-0.1;43;3427;62230;95;0,3115942028985507;0,0521955008605327;0,9478044991394672;0,6884057971014492;0,0690507924782811;5,27395698761304;31,159420289855078;5,219550086053277;12,752966511964315;0,1377962218198715
sigmoid-auto-0.15;33;5635;60022;105;0,2391304347826087;0,0858248168512116;0,9141751831487884;0,7608695652173914;0,0549496295062859;8,614636370544874;23,91304347826087;8,58248168512116;14,325964459249503;0,1096473011812004
